sms,label
"Ok lar... Joking wif u oni...
",0
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",1
"U dun say so early hor... U c already then say...
",0
"Nah I don't think he goes to usf, he lives around here though
",0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",1
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",1
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",0
"Oh k...i'm watching here:)
",0
"Fine if thats the way u feel. Thats the way its gota b
",0
"Is that seriously how you spell his name?
",0
"I‘m going to try for 2 months ha ha only joking
",0
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",0
"I'm back &amp; we're packing the car now, I'll let you know if there's room
",0
"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
",1
"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
",0
"Oops, I'll let you know when my roommate's done
",0
"Anything lor... U decide...
",0
"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
",0
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",0
"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
",1
"Didn't you get hep b immunisation in nigeria.
",0
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
",0
"What you thinked about me. First time you saw me in class.
",0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
",0
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
",1
"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
",0
"Sorry, I'll call later in meeting.
",0
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",0
"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
",0
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0
"Finished class where are you.
",0
"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
",0
"U can call me now...
",0
"I like you peoples very much:) but am very shy pa.
",0
"I call you later, don't have network. If urgnt, sms me.
",0
"Ela kano.,il download, come wen ur free..
",0
"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
",0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",0
"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
",0
"Umma my life and vava umma love you lot dear
",0
"Dont worry. I guess he's busy.
",0
"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
",1
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
",0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",0
"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
",1
"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
",0
"Ü predict wat time ü'll finish buying?
",0
"Good stuff, will do.
",0
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
",0
"Are you there in room.
",0
"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
",0
"K..k:)how much does it cost?
",0
"First answer my question.
",0
"He is there. You call and meet him
",0
"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
",0
"Sir, Waiting for your mail.
",0
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
",0
"Yes see ya not on the dot
",0
"Whats the staff name who is taking class for us?
",0
"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
",0
"Ok... Ur typical reply...
",0
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
",0
"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
",1
"You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
",1
"Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
",0
"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
",1
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
",1
"Sir, I need AXIS BANK account no and bank address.
",0
"Going on nothing great.bye
",0
"Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
",0
"Have you got Xmas radio times. If not i will get it now
",0
"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
",0
"Did u got that persons story
",0
"Found it, ENC  &lt;#&gt; , where you at?
",0
"I sent you  &lt;#&gt;  bucks
",0
"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
",0
"Ü say until like dat i dun buy ericsson oso cannot oredi lar...
",0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",0
"K:)k:)good:)study well.
",0
"Sounds great! Are you home now?
",0
"Finally the match heading towards draw as your prediction.
",0
"Sorry, I'll call later
",0
"U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
",0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
",1
"Dear we are going to our rubber place
",0
"Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
",1
"I have printed it oh. So  &lt;#&gt;  come upstairs
",0
"Tomarrow final hearing on my laptop case so i cant.
",0
"PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
",0
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.
",0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...
",0
"It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
",0
"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
",1
"What you doing?how are you?
",0
"I'm back, lemme know when you're ready
",0
"I‘m parked next to a MINI!!!! When are you coming in today do you think?
",0
"Yup
",0
"Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
",0
"The evo. I just had to download flash. Jealous?
",0
"Come to mu, we're sorting out our narcotics situation
",0
"HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
",1
"No objection. My bf not coming.
",0
"Tell rob to mack his gf in the theater
",0
"All done? All handed in? Celebrations in full swing yet?
",0
"You got called a tool?
",0
"Okie...
",0
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down
",0
"Are you this much buzy
",0
"Need a coffee run tomo?Can't believe it's that time of week already
",0
"Awesome, I remember the last time we got somebody high for the first time with diesel :V
",0
"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?
",0
"Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
",0
"He is a womdarfull actor
",0
"Yup... From what i remb... I think should be can book... 
",0
"Jos ask if u wana meet up?
",0
"Where are the garage keys? They aren't on the bookshelf
",0
"Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
",0
"K.k:)advance happy pongal.
",0
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
",0
"Coffee cake, i guess...
",0
"cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
",0
"Hi da:)how is the todays class?
",0
"Cool, text me when you're parked
",0
"Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
",1
"Cool. So how come you havent been wined and dined before?
",0
"Just sleeping..and surfing
",0
"U calling me right? Call my hand phone...
",0
"Ok that's great thanx a lot.
",0
"Am not interested to do like that.
",0
"My sister cleared two round in birla soft yesterday.
",0
"Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
",0
"Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
",1
"If you're not in my car in an hour and a half I'm going apeshit
",0
